vehicle_no,GPSVendor,Model,Type,year_made,tail_lift,status,possession,admin_station_id,category_id,color_id,vehicle_owner_id,vehicle_group_id
BNP 9470,GUS,Hino WU302R-HKMLHD3,Box Truck,2015,TRUE,A,HQ OPS,462,20,16,5,36
BNP 9479,GUS,Hino WU302R-HKMLHD3,Box Truck,2015,TRUE,A,AOR,285,20,16,5,5
BNP 9482,GUS,Hino WU302R-HKMLHD3,Box Truck,2015,TRUE,A,HQ OPS,462,20,16,5,36
BNP 9486,GUS,Hino WU302R-HKMLHD3,Box Truck,2015,TRUE,A,SPT,519,20,16,5,105
BNP 9489,GUS,Hino WU302R-HKMLHD3,Box Truck,2015,TRUE,A,PBR,455,20,16,5,76
BNQ 1272,GUS,Isuzu NKR 55UEEH,Box Truck,2015,TRUE,A,KLG,378,20,16,5,53
BNQ 1275,GUS,Isuzu NKR 55UEEH,Box Truck,2015,TRUE,A,BYN,323,20,16,5,21
BNQ 1283,GUS,Isuzu NKR 55UEEH,Box Truck,2015,TRUE,A,JJR,353,20,16,5,43
BNQ 1307,GUS,Isuzu NKR 55UEEH,Box Truck,2015,TRUE,A,CRS,328,20,16,5,23
BNQ 1334,GUS,Isuzu NKR 55UEEH,Box Truck,2015,TRUE,A,HQ OPS,462,20,16,5,36
BNQ 1435,GUS,Isuzu NKR 55UEEH,Box Truck,2015,TRUE,A,SBY,498,20,16,5,94
BNQ 1437,GUS,Isuzu NKR 55UEEH,Box Truck,2015,TRUE,A,HQ OPS,462,20,16,5,36
BNQ 5520,GUS,Hino WU640R-HKMLL3,Box Truck,2015,TRUE,A,FLT BUF 'A',NULL,20,16,5,27
BNQ 553,GUS,Isuzu NKR 55UEEH,Box Truck,2015,TRUE,A,SEG,502,20,16,5,97
BNQ 568,GUS,Isuzu NKR 55UEEH,Box Truck,2015,TRUE,A,JHB,351,20,16,5,41
BNQ 589,GUS,Isuzu NKR 55UEEH,Box Truck,2015,TRUE,A,HQ OPS,462,20,16,5,36
BNR 4602,GUS,Hino WU302R-HKMLHD3,Box Truck,2015,TRUE,A,JRT,356,20,16,5,45
BNR 4610,GUS,Hino WU302R-HKMLHD3,Box Truck,2015,TRUE,A,KLG,378,20,16,5,53
BNR 4612,GUS,Hino WU302R-HKMLHD3,Box Truck,2015,TRUE,A,MWT,446,20,16,5,71
BNR 4615,GUS,Hino WU302R-HKMLHD3,Box Truck,2015,TRUE,A,PKL,464,20,16,5,79
BNT 3057,GUS,Isuzu NLR55UEE,Box Truck,2015,TRUE,A,JLP,355,20,16,5,44
BNT 3079,GUS,Isuzu NLR55UEE,Box Truck,2015,TRUE,A,BWH,322,20,16,5,20
BNT 3080,GUS,Isuzu NLR55UEE,Box Truck,2016,TRUE,A,FLT BUF 'A',284,20,16,5,4
BNT 3083,GUS,Isuzu NLR55UEE,Box Truck,2016,TRUE,A,BPT,313,20,16,5,14
BNT 3095,GUS,Isuzu NLR55UEE,Box Truck,2016,TRUE,A,SEN,503,20,16,5,98
BNT 3106,GUS,Isuzu NLR55UEE,Box Truck,2016,TRUE,A,BWH,322,20,16,5,20
BNT 3150,GUS,Isuzu NLR55UEE,Box Truck,2016,TRUE,A,FLT BUF 'A',NULL,20,16,5,27
BNT 3160,GUS,Isuzu NLR55UEE,Box Truck,2016,TRUE,A,BWH,322,20,16,5,20
BNT 3167,GUS,Isuzu NLR55UEE,Box Truck,2015,TRUE,A,BPT,313,20,16,5,14
BNT 3482,GUS,Isuzu NLR55UEE,Box Truck,2015,TRUE,A,FLT BUF 'A',NULL,20,16,5,27
BNT 3556,GUS,Hino WU302R-HKMLHD3,Box Truck,2016,TRUE,A,SDG,499,20,16,5,95
